ligand,receptor,sender,receiver,ligand_mean,receptor_mean,score,sample
CSF1,CSF1R,NK,Myeloid,2.3951724,0.9326941,2.233963,HJX
VEGFA,FLT1,NK,Endothelial,2.3951724,0.8822788,2.1132097,HJX
PDGFB,PDGFRB,Endothelial,Fibroblasts,0.56530344,1.5786967,0.8924427,HJX
VEGFA,KDR,NK,Endothelial,2.3951724,0.3541851,0.8483344,HJX
CSF1,CSF1R,Mast,Myeloid,0.80206764,0.9326941,0.7480837,HJX
TGFB1,TGFBR2,T_cells,Endothelial,0.943218,0.68691117,0.64790696,HJX
IL18,IL18R1,Epithelial,Mast,0.67234755,0.9316984,0.62642515,HJX
VSIR,VSIR,Myeloid,Myeloid,0.725451,0.725451,0.52627915,HJX
VEGFA,FLT1,NK,Epithelial,2.3951724,0.19780883,0.47378623,HJX
TGFB1,TGFBR2,Endothelial,Endothelial,0.66878486,0.68691117,0.4593958,HJX
TGFB1,TGFBR2,Myeloid,Endothelial,0.61772907,0.68691117,0.424325,HJX
LGALS9,HAVCR2,Myeloid,Myeloid,1.0775696,0.37446254,0.40350947,HJX
TNFSF10,TNFRSF10A,NK,Endothelial,2.3951724,0.1622378,0.38858747,HJX
TGFB1,TGFBR2,Epithelial,Endothelial,0.5507676,0.68691117,0.3783284,HJX
LGALS9,HAVCR2,Myeloid,Mast,1.0775696,0.33294633,0.35877284,HJX
IL18,IL18R1,Myeloid,Mast,0.3614898,0.9316984,0.33679947,HJX
IL18,IL18R1,B_Plasma,Mast,0.35267583,0.9316984,0.3285875,HJX
NECTIN2,TIGIT,Endothelial,T_cells,0.7876951,0.4156939,0.32744005,HJX
VEGFA,FLT1,NK,Myeloid,2.3951724,0.13449554,0.32214,HJX
TGFB1,TGFBR2,Mast,Endothelial,0.46777594,0.68691117,0.3213205,HJX
LGALS9,HAVCR2,Endothelial,Myeloid,0.79394865,0.37446254,0.29730403,HJX
TGFB1,TGFBR2,Fibroblasts,Endothelial,0.41113746,0.68691117,0.2824149,HJX
CSF1,CSF1R,NK,Fibroblasts,2.3951724,0.11668389,0.27947804,HJX
TNF,TNFRSF1B,Myeloid,T_cells,0.19780117,1.4088184,0.27866593,HJX
TNFSF10,TNFRSF10A,NK,Epithelial,2.3951724,0.11616252,0.27822927,HJX
VEGFB,FLT1,Fibroblasts,Endothelial,0.3101215,0.8822788,0.27361363,HJX
TGFB1,TGFBR2,T_cells,Mast,0.943218,0.28940454,0.27297157,HJX
LGALS9,HAVCR2,Endothelial,Mast,0.79394865,0.33294633,0.26434228,HJX
CD86,CTLA4,Myeloid,T_cells,0.49972045,0.5098762,0.25479555,HJX
IL18,IL18R1,Mast,Mast,0.2733162,0.9316984,0.25464827,HJX
CSF1,CSF1R,NK,Epithelial,2.3951724,0.10466042,0.25067976,HJX
VSIR,VSIR,Myeloid,Endothelial,0.725451,0.3427175,0.24862476,HJX
VSIR,VSIR,Endothelial,Myeloid,0.3427175,0.725451,0.24862476,HJX
CCL21,CCR7,Endothelial,T_cells,0.83530116,0.29395545,0.24554132,HJX
TGFB1,TGFBR2,B_Plasma,Endothelial,0.35740015,0.68691117,0.24550216,HJX
CSF1,CSF1R,Fibroblasts,Myeloid,0.2509553,0.9326941,0.23406453,HJX
VEGFB,FLT1,Myeloid,Endothelial,0.2616919,0.8822788,0.23088521,HJX
IL1B,IL1R1,Myeloid,Fibroblasts,0.7537497,0.2962279,0.2232817,HJX
VSIR,VSIR,Myeloid,T_cells,0.725451,0.30684593,0.22260168,HJX
VSIR,VSIR,T_cells,Myeloid,0.30684593,0.725451,0.22260168,HJX
CCL3,CCR5,Myeloid,T_cells,1.5336057,0.14029196,0.21515255,HJX
IL18,IL18R1,Fibroblasts,Mast,0.22865057,0.9316984,0.21303336,HJX
TGFB1,TGFBR2,T_cells,T_cells,0.943218,0.22375883,0.21105336,HJX
NECTIN2,TIGIT,Myeloid,T_cells,0.49739447,0.4156939,0.20676385,HJX
VSIR,VSIR,Myeloid,B_Plasma,0.725451,0.2819752,0.20455919,HJX
VSIR,VSIR,B_Plasma,Myeloid,0.2819752,0.725451,0.20455919,HJX
VEGFA,FLT1,NK,Fibroblasts,2.3951724,0.082319275,0.19716886,HJX
VEGFA,FLT1,Myeloid,Endothelial,0.22331129,0.8822788,0.19702281,HJX
CD47,SIRPA,B_Plasma,Myeloid,0.37682328,0.5204763,0.19612758,HJX
VEGFA,FLT1,B_Plasma,Endothelial,0.22211233,0.8822788,0.19596499,HJX
TNF,TNFRSF1B,Myeloid,Myeloid,0.19780117,0.9845639,0.1947479,HJX
TGFB1,TGFBR2,Endothelial,Mast,0.66878486,0.28940454,0.19354938,HJX
CD47,SIRPA,B_Plasma,Mast,0.37682328,0.5094025,0.19195472,HJX
CXCL9,CXCR3,Myeloid,T_cells,0.76859087,0.24747585,0.19020768,HJX
CSF1,CSF1R,T_cells,Myeloid,0.20353262,0.9326941,0.18983367,HJX
VEGFB,FLT1,B_Plasma,Endothelial,0.21206221,0.8822788,0.187098,HJX
TNFSF10,TNFRSF10A,NK,B_Plasma,2.3951724,0.078102954,0.18707004,HJX
NECTIN2,TIGIT,Fibroblasts,T_cells,0.44729844,0.4156939,0.18593924,HJX
VEGFA,FLT1,Mast,Endothelial,0.20835014,0.8822788,0.18382291,HJX
VEGFA,FLT1,Fibroblasts,Endothelial,0.20701379,0.8822788,0.18264388,HJX
CCL3,CCR1,Myeloid,Myeloid,1.5336057,0.11890795,0.1823579,HJX
CCL5,CCR5,T_cells,T_cells,1.2914703,0.14029196,0.18118289,HJX
TGFB1,TGFBR1,T_cells,Mast,0.943218,0.1915718,0.18069397,HJX
TNF,TNFRSF1B,T_cells,T_cells,0.12823269,1.4088184,0.18065657,HJX
TGFB1,TGFBR2,Myeloid,Mast,0.61772907,0.28940454,0.1787736,HJX
CXCL12,CXCR4,Endothelial,T_cells,0.28200224,0.6285252,0.17724551,HJX
TNFSF4,TNFRSF4,Mast,T_cells,0.20915656,0.83008635,0.173618,HJX
CCL5,CCR4,T_cells,T_cells,1.2914703,0.13201897,0.17049858,HJX
CSF1,CSF1R,NK,B_Plasma,2.3951724,0.07047881,0.1688089,HJX
PGF,KDR,Fibroblasts,Endothelial,0.4763225,0.3541851,0.16870633,HJX
CD47,SIRPA,Epithelial,Myeloid,0.32259595,0.5204763,0.16790354,HJX
CD47,SIRPA,Myeloid,Myeloid,0.3224563,0.5204763,0.16783085,HJX
TGFB2,TGFBR2,Fibroblasts,Endothelial,0.24361642,0.68691117,0.16734284,HJX
CCL21,CCR7,Endothelial,Myeloid,0.83530116,0.19992001,0.16699342,HJX
VSIR,VSIR,Myeloid,Fibroblasts,0.725451,0.22917096,0.1662523,HJX
VSIR,VSIR,Fibroblasts,Myeloid,0.22917096,0.725451,0.1662523,HJX
TGFB1,TGFBR2,T_cells,Myeloid,0.943218,0.17563178,0.16565906,HJX
LGALS9,HAVCR2,Myeloid,T_cells,1.0775696,0.15283367,0.16468892,HJX
CD47,SIRPA,Epithelial,Mast,0.32259595,0.5094025,0.16433118,HJX
CD47,SIRPA,Myeloid,Mast,0.3224563,0.5094025,0.16426004,HJX
IL18,IL18R1,T_cells,Mast,0.17601822,0.9316984,0.16399589,HJX
TGFB1,TGFBR2,Epithelial,Mast,0.5507676,0.28940454,0.15939465,HJX
TGFB1,TGFBR1,T_cells,Myeloid,0.943218,0.16751485,0.15800302,HJX
